what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547838092
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1780547851047
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1780547859179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547859477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547888684
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780547888697
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780547889978
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1780547890132
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1780547890169
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1780547890169
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1780547890170
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1780547890186
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780547892256
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780547898349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780547901803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547903637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547908866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547910004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547985563
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780547986480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780547990288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780547990565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780547990729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780547991048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548007906
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780548008775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780548010612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548010888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548023538
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780548027544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548030186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548044725
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780548046099
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780548046311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548047628
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780548048070
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780548050316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548052834
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780548054952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548100693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548157622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548158952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548272325
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780548273522
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780548275610
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780548275669
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1780548276125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548286508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548315612
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780548317216
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780548319268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548320530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548333494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780548334153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780548334749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548335109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548347431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548379760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548381627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780548382411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780548383026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548383571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548387324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780548387339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548389197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548393881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780548410458
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780548411807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548413093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548414725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548415064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548422750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548426525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548430744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548431511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548434703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548440193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548441165
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1780548441496
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780548442817
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780548443084
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780548445013
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780548447207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780548456632
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780548466646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780548466912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548467294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548500686
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780548504607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548514797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548524494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548526453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548532626
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780548534438
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780548545992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780548548626
